2024/2025 Semester 1 Final Teaching Timetable,,,,,
,,,,,
BIUST - AUDITORIUM,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
1500-1550,GLEN 417 TUTORIAL,CHEM 307 Tutorial,CHEE 512 Tutorial,,STAT 611 TUT
1600-1650,,CIVE 414 LECTURE,INFS 411 LECTURE,MINS 412 LECTURE,CIVE 411 LECTURE
1700-1750,,CIVE 414 LECTURE,INFS 411 LECTURE,MINS 412 LECTURE,CIVE 411 LECTURE
1800-1850,,,,,
1900-1950,,,,,
BIUST - 124/005-006,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
0800-0850,STAT 202 TUT STAT & MATH,ALSS 201 Tutorial Group B,CPEN 513 LECTURE,MMEE 313 LECTURE,MECE 311 LECTURE
0900-0950,MATH 307 LECTURE,ALSS 201 Tutorial Group G,CPEN 513 LECTURE,MMEE 313 LECTURE,MECE 311 LECTURE
1000-1050,COMP 311 LECTURE,ENER 511 LECTURE,GEOL 305 TUTORIAL,,MINE 523 TUTORIAL
1100-1150,COMP 311 LECTURE,ENER 511 LECTURE,ENVS 305 LECTURE,CHEE 310 LECTURE,MINE 411 LECTURE
1200-1250,ENVS 303 LECTURE,CHEE 516 Tutorial,ENVS 305 LECTURE,CHEE 310 LECTURE,MINE 411 LECTURE
1300-1350,ENVS 303 LECTURE,GEOL 613 LECTURE,ENVS 307 TUTORIAL,CHEM 307 LECTURE,MINE 414 TUTORIAL
1400-1450,EEEN 517 LECTURE,COMP 332 LECTURE,ENVS 307 TUTORIAL,GEOL 207 LECTURE,MATH 207 TUTORIAL
1500-1550,EEEN 517 LECTURE,COMP 332 LECTURE,MATH 101 TUT MINING,GEOL 207 LECTURE,CHEM 302 LECTURE
1600-1650,MATH 101 TUT PHYSICS,EMTH 201 TUTORIAL GROUP I,STAT 611 LECTURE,CHEE 515 LECTURE,CHEM 302 LECTURE
1700-1750,MATH 101 TUT INDUSTRIAL,ENER 412 Lecture,MATH 412 TUTORIAL,CHEE 515 LECTURE,CHEM 303 LECTURE
1800-1850,,,,,
1900-1950,,,,,
BIUST - 125/001-002,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
